,Chauvigny,Beuvry,Hardelot,Vannes,Lorient,Nantes,Rennes
Saint Lunaire,4:14:12,5:30:31,4:39:50,1:55:44,2:10:16,2:05:04,0:56:44
Saint Briac sur Mer,4:12:45,5:29:03,4:38:22,1:54:17,2:08:48,2:03:36,0:55:17
Saint Jacut de la mer,4:23:39,5:39:19,4:48:38,1:57:37,2:07:58,2:14:30,1:06:10
Saint Cast le guildo,4:35:01,5:50:41,5:00:00,2:05:19,2:01:24,2:25:52,1:17:33
